
=== SHEET: Export Worksheet ===
ASSMBL_CD | NH_ASSMBL_CD | BOM_CLASS_CD | ASSMBL_BOM_CD | ASSMBL_BOM_NAME | FG_PART_GROUP_CD | FG_PART_GROUP_NAME | FG_EVENT_DT | FG_EVENT_TYPE | FG_STATUS_CD | FG_EVENT_SDESC | FG_AIRCRAFT | FG_INVENTORY_KEY | FG_INVENTORY | FG_INV_BARCODE | FG_CONFIG_SLOT | FG_PART_NO_OEM | FG_PART_NO_SDESC | FG_REMOVE_REASON | FG_PERFORMED_BY_USER | FG_PERFORMED_BY_USERNAME | FG_PERFORMED_BY_HR_CD
737-8ASK | 737-8ASK | TRK | 32-11-83-01-105 RH | HOUSING |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
737-8ASK | 737-8ASK | TRK | 32-11-83-01-105 LH | HOUSING |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B737NG-C | B737NG-C | TRK | 33-42-02-01-250 | LIGHT ASSY |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B777-C | B777-C | TRK | SUBCONFIG 25-53-01-30-90 (SUBCONFIG1) | SUBCONFIG 1 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Q400DORN | Q400DORN | TRK | 32-12-06-01-285D-HTC | PIN |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B737NG-C | B737NG-C | TRK | 73-21-05-01A-089 | PROBE-T12 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B737MAX | B737MAX | TRK | 32-11-83-01-105 LH | HOUSING |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B737MAX | B737MAX | TRK | 32-11-83-01-105 RH | HOUSING |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
B737-NG | B737-NG | TRK | 23-31-01-01A-045 | AMPLIFIER ASSY-PASS. ADDRESS | 23-31-01-01-016 | AMPLIFIER ASSY-PASS. ADDRESS | 16-JUL-2026 09:43:17 | INSTALL | FGINST | Installation of AMPLIFIER ASSY-PASS. ADDRESS. | BOEING 737-800 - ET-AVX | 1040000:1811234 | AMPLIFIER ASSY-PASS. ADDRESS (PN: 622-5342-101, SN: L3FC) | ISFN8001CBQQ | 1.1 | 622-5342-101 | AMPLIFIER ASSY-PASS. ADDRESS |  | 28556 - Birhanu Aschale | 28556 | 28556
B737-NG | B737-NG | TRK | 23-31-01-01A-045 | AMPLIFIER ASSY-PASS. ADDRESS | 23-31-01-01B-405 | AMPLIFIER ASSY-PASS. ADDRESS | 16-JUL-2026 09:43:17 | INSTALL | FGINST | Installation of AMPLIFIER ASSY-PASS. ADDRESS. | BOEING 737-800 - ET-AVX | 1040000:1811234 | AMPLIFIER ASSY-PASS. ADDRESS (PN: 622-5342-101, SN: L3FC) | ISFN8001CBQQ | 1.1 | 622-5342-101 | AMPLIFIER ASSY-PASS. ADDRESS |  | 28556 - Birhanu Aschale | 28556 | 28556
B737-NG | B737-NG | TRK | 23-31-01-01A-045 | AMPLIFIER ASSY-PASS. ADDRESS | 23-31-01-01B-205 | AMPLIFIER ASSY-PASS. ADDRESS | 16-JUL-2026 09:43:17 | INSTALL | FGINST | Installation of AMPLIFIER ASSY-PASS. ADDRESS. | BOEING 737-800 - ET-AVX | 1040000:1811234 | AMPLIFIER ASSY-PASS. ADDRESS (PN: 622-5342-101, SN: L3FC) | ISFN8001CBQQ | 1.1 | 622-5342-101 | AMPLIFIER ASSY-PASS. ADDRESS |  | 28556 - Birhanu Aschale | 28556 | 28556
